date,humidity,temperature,soil_moisture,soil_moisture_10cm,soil_moisture_30cm,soil_moisture_60cm,light,wind_speed,rainfall,rainfall_intensity
2026-01-01 00:00:00,52.483570765056164,20.519765588496846,60.8429756032051,59.19177949666633,70.47122911621713,80.30780176889206,469.3605654757807,9.049552715319335,0,2
2026-01-01 05:00:00,51.26657137744485,22.868907665755135,59.43716336273874,63.4578886895884,72.1943613488742,78.68141018400352,532.8253988912214,7.856343365099587,0,0
2026-01-01 10:00:00,57.12072836704127,20.11428902926904,61.96382369995338,67.09526160731329,68.33692273395292,79.42827171320185,617.8208875772535,10.093851200941888,0,0
2026-01-01 15:00:00,63.35540076751648,21.185921097482346,62.3478315196744,64.04911866491022,74.20092524823932,81.89131439111799,669.7962124453871,9.345649901787668,0,0
2026-01-01 20:00:00,56.32923312638332,26.043883131233795,63.231905729167366,69.88584663671388,73.17699281498882,81.67086543812795,732.9272136336415,11.575260872625265,0,3
2026-01-02 01:00:00,57.96073665038491,26.68158363655358,68.63642058115028,61.94730991544253,72.213231317242,81.64230095067347,844.0147985418058,9.137096468936594,0,2
2026-01-02 06:00:00,68.50266579533518,27.57205351255723,68.14211426976061,61.96092049380001,74.80109763814531,82.13975427662504,773.9953510999165,11.857284146724892,0,0
2026-01-02 11:00:00,65.73747375013306,28.626429821906303,65.85480461713038,67.76689030622249,78.50815241706498,82.72764172623538,777.4264738895714,10.577970804336355,0,1
2026-01-02 16:00:00,60.64300912709182,27.300204594687404,71.35905366414413,69.8124503846623,74.69385952903919,82.05831653104396,777.4442001130491,9.946658207738867,0,0
2026-01-02 21:00:00,66.57099320559912,29.703302719434873,70.16069388774271,69.1407110808306,75.1158388351571,81.99333387213156,833.0053110074189,10.287752763479538,1,0
2026-01-03 02:00:00,62.17179893027371,30.245403209488043,72.09784461940757,63.45693196277106,73.91090733236486,83.09362273396488,884.7139818719374,10.577430170672885,0,0
2026-01-03 07:00:00,62.54302415275587,28.485745777685366,71.80333513950895,69.64708849519974,73.25753556793947,81.9959618065064,986.3058377254134,11.398500530523348,0,1
